param,i1,i2,dist,model,i3
alpha_F,0.5,0.95,unif,tomgro,
beta,0.1,0.5,unif,tomgro,
delta,0.02,0.07,unif,tomgro,
DFmax,0.02,0.1,unif,tomgro,
E,0.6,0.8,unif,tomgro,
K,0.5,0.8,unif,tomgro,
K_F,4,8,unif,tomgro,
LAI_max,2.3,4,unif,tomgro,
N_b,10,25,unif,tomgro,
N_FF,10,25,unif,tomgro,
N_max,0.4,0.7,unif,tomgro,
p_1,1.5,2.5,unif,tomgro,
Qe,0.055,0.09,unif,tomgro,
sl_N1,0.02,0.03,unif,tomgro,
sl_N2,0.04,0.06,unif,tomgro,
sl_R,0.003,0.0035,unif,tomgro,
T_crit,22,29,unif,tomgro,
tau1,0.06,0.1,unif,tomgro,
tau2,0.058,0.1,unif,tomgro,
tmaxPg,34,40,unif,tomgro,
tmin_fr_gr,6,10,unif,tomgro,
TQe,22,25,unif,tomgro,
TSlop,18.54,22.66,unif,tomgro,
V,0.1,0.27,unif,tomgro,
D,0.0972,0.1188,unif,z_tomgro,
m,0.09,0.11,unif,z_tomgro,
Vmax,6,9,unif,tomgro,
K,0.5,0.8,unif,z_simple,
T_sum,2500,5000,unif,simple,2000 Mto baixo interrogacao Ele ja vai comecar a descer e eu que nao to vendo
HI,0.1,0.8,unif,simple,
I50A,200,3000,unif,simple,
I50B,45,1000,unif,z_simple,
f_solarMax,0.6,0.99,unif,simple,
RUE,0.8,2,unif,simple,3 mto alto
T_base,4,15,unif,simple,
T_opt,23,30,unif,simple,
T_ext,40,50,unif,simple,
T_heat,30,34,unif,simple,
ksMinTCan,5,18,unif,vanthoor,
ksMaxTCan,22,32,unif,vanthoor,
ksMinTCan24,8,18,unif,vanthoor,
ksMaxTCan24,22,30,unif,vanthoor,
sMinTCan,-0.9,-0.8,unif,z_vanthoor,
sMaxTCan,0.5,0.62,unif,z_vanthoor,
sMinTCan24,-1.2,-1.1,unif,z_vanthoor,
sMaxTCan24,1.3,1.5,unif,z_vanthoor,
ttsum,-900,-300,unif,vanthoor,
cMaxBufFruit1,-0.0000002,-0.0000001,unif,z_vanthoor,
cMaxBufFruit2,0.0000007,0.0000008,unif,z_vanthoor,
K1,0.5,0.8,unif,z_vanthoor,
sla,0.000024,0.000075,unif,vanthoor,
TSumEnd,800,2500,unif,vanthoor,
cDev2,0.00000001,0.000000013,unif,vanthoor,
laiMax,2,4.3,unif,vanthoor,
nDev,5,50,unif,vanthoor,
Gmax,2000,12000,unif,z_vanthoor,
