D,2.5926912,all,coefficient to convert Pg from micromol(CO2 per m2 per second to g of assimilate per m2 per day,"Jones et al., 1999, spreadsheet"
TRGH,1,all,transmissivity of greenhouse cover,"Jones et al., 1999, spreadsheet (inferred)"
CO2,350,av_n01,ppm,"Jones et al., 1999, spreadsheet"
LAI_max,2.3,av_n01,Maximum leaf area index (Try 2.3 as well),"Jones et al., 1999, spreadsheet"
ro,2.2,av_n01,Plant density,"Jones et al., 1999, spreadsheet"
CO2,350,brd_n01,,
LAI_max,5.5,brd_n01,,
ro,1.1,brd_n01,,
CO2,400,cps_n01,,
LAI_max,0.65,cps_n01,,
ro,1.33,cps_n01,,
CO2,400,cps_n02,,
LAI_max,0.65,cps_n02,,
ro,1.33,cps_n02,,
CO2,400,cps_n03,,
LAI_max,0.65,cps_n03,,
ro,1.33,cps_n03,,
CO2,400,cps_n04,,
LAI_max,0.65,cps_n04,,
ro,1.33,cps_n04,,
CO2,400,cps_n05,,
LAI_max,3,cps_n05,,
ro,1.33,cps_n05,,
CO2,400,cps_n06,,
LAI_max,3,cps_n06,,
ro,1.33,cps_n06,,
CO2,400,cps_n07,,
LAI_max,4.5,cps_n07,,
ro,2.22,cps_n07,,
CO2,400,cps_n08,,
LAI_max,4.5,cps_n08,,
ro,2.22,cps_n08,,
CO2,350,gai,,
LAI_max,2.5,gai,,
ro,1,gai,,
CO2,350,gai1,,
LAI_max,3,gai1,,
ro,1.2,gai1,,
CO2,350,gai2,,
LAI_max,2.5,gai2,,
ro,1.2,gai2,,
CO2,350,gnv_n01,,
LAI_max,4,gnv_n01,,
ro,3.5,gnv_n01,,
CO2,350,gnv_n02,,
LAI_max,4,gnv_n02,,
ro,3.5,gnv_n02,,
CO2,350,gnv_n03,,
LAI_max,4,gnv_n03,,
ro,3.5,gnv_n03,,
CO2,350,gnv_n04,,
LAI_max,4,gnv_n04,,
ro,3.5,gnv_n04,,
CO2,350,gnv_n05,,
LAI_max,4,gnv_n05,,
ro,3.5,gnv_n05,,
CO2,350,gnv_n06,,
LAI_max,4,gnv_n06,,
ro,3.5,gnv_n06,,
CO2,400,gnvMod,,
LAI_max,2,gnvMod,,"Jones et al., 1999, spreadsheet"
ro,1.33,gnvMod,,"Jones et al., 1999, spreadsheet"
CO2,350,lc_n01,,"Jones et al., 1999, spreadsheet"
LAI_max,4,lc_n01,,"Jones et al., 1999, spreadsheet"
ro,3.12,lc_n01,,"Jones et al., 1999, spreadsheet"
CO2,400,pir1,,
LAI_max,0.65,pir1,,
ro,1.33,pir1,,
CO2,400,pir2,,
LAI_max,0.65,pir2,,
ro,1.33,pir2,,
CO2,400,usa,,
LAI_max,2.5,usa,,
ro,1,usa,,
CO2,350,fixed,,
LAI_max,4,fixed,,
ro,3.5,fixed,,
ro,4.4,arA_n01,,
CO2,400,arA_n01,,
LAI_max,4,arA_n01,,
