cycle,node,event,date,comment
1,both,planting,2018-12-07,
1,both,transplanting,2019-01-11,
1,both,stage,2019-01-11,vegetative
1,both,stage,2019-02-01,flowering
1,both,stage,2019-02-13,fruits
1,both,stage,2019-03-06,maturity
1,both,harvest,2019-04-04,
1,both,end,2019-04-03,
1,1,change_plant,2019-02-19,
2,both,planting,2019-05-31,
2,both,transplanting,2019-07-12,
2,both,stage,2019-07-12,vegetative
2,both,stage,2019-08-06,flowering
2,both,stage,2019-08-19,fruits
2,both,stage,2019-09-17,maturity
2,both,end,2019-10-28,
3,both,planting,2020-10-01,
3,both,transplanting,2020-11-04,
3,both,stage,2020-11-04,vegetative
3,both,stage,2020-11-13,flowering
3,both,stage,2020-11-30,fruits
3,both,stage,2020-12-15,maturity
3,both,end,2021-02-12,
4,both,planting,2021-02-16,
4,both,transplanting,2021-03-09,
4,both,stage,2021-03-09,vegetative
4,both,stage,2021-03-29,flowering
4,both,stage,2021-04-12,fruits
4,both,stage,2021-05-10,maturity
4,both,end,2021-06-11,
