id,run,model,case,n_samples,n_splits,city,exp,sensor_type,cont,config,comment
1,0,tomgro,0,50,20,cps,7,A,100,2000,teste
2,0,tomgro,1,100,16,cps,7,A,1,1000,teste
3,0,tomgro,1,100,16,gnv,4,A,2,1000,teste
4,0,tomgro,1,2000,16,cps,7,A,1,1,
5,0,tomgro,1,2000,16,gnv,4,A,2,1,
6,0,simple,1,2000,16,cps,7,A,3,1,
7,0,simple,1,2000,16,gnv,4,A,4,1,
8,0,vanthoor,1,2000,16,cps,7,A,5,1,
9,0,vanthoor,1,2000,16,gnv,4,A,6,1,
10,0,tomgro,0,50000,10,cps,7,A,7,1,
11,0,tomgro,0,50000,10,gnv,4,A,8,1,
12,1,tomgro,0,50000,10,gnv,5,A,9,1,
13,1,tomgro,0,50000,10,gnv,6,A,10,1,
14,0,vanthoor,0,50000,10,cps,7,A,11,1,
15,0,vanthoor,0,50000,10,gnv,4,A,12,1,
16,1,vanthoor,0,50000,10,gnv,5,A,13,1,
17,1,vanthoor,0,50000,10,gnv,6,A,14,1,
18,0,simple,0,50000,10,cps,7,A,15,1,
19,0,tomgro,1,3000,16,cps,7,A,1,2,
20,0,tomgro,1,3000,16,gnv,4,A,2,2,
21,0,simple,1,3000,16,cps,7,A,3,2,
22,0,simple,1,3000,16,gnv,4,A,4,2,
23,0,vanthoor,1,3000,16,cps,7,A,5,2,
24,0,vanthoor,1,3000,16,gnv,4,A,6,2,
25,0,tomgro,1,5000,16,cps,7,A,1,3,
26,0,tomgro,1,5000,16,gnv,4,A,2,3,
27,0,simple,1,5000,16,cps,7,A,3,3,
28,0,simple,1,5000,16,gnv,4,A,4,3,
29,0,vanthoor,1,5000,16,cps,7,A,5,3,
30,0,vanthoor,1,5000,16,gnv,4,A,6,3,
31,0,tomgro,1,7500,16,cps,7,A,1,4,
32,0,tomgro,1,7500,16,gnv,4,A,2,4,
33,0,simple,1,7500,16,cps,7,A,3,4,
34,0,simple,1,7500,16,gnv,4,A,4,4,
35,0,vanthoor,1,7500,16,cps,7,A,5,4,
36,0,vanthoor,1,7500,16,gnv,4,A,6,4,
